Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2008,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2009,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2010,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2011,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2012,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2013,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),224000911,425,,
2014,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),235412733,446,,
2015,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),265184745,502,,
2016,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),288389197,545,,
2017,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),292875759,554,,
2018,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),309172647,588,,
2019,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),332023195,634,,
2020,f,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),332192501,636,,
2021,f,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),347712660,669,,
1975,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,5152750,9,,
1976,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,6319000,11,,
1977,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,7266500,13,,
1978,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,7873750,14,,
1979,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,8666000,15,,
1980,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,10147750,18,,
1981,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,11905250,21,,
1982,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,14922000,26,,
1983,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,16163750,28,,
1984,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,17119250,30,,
1985,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,17388250,30,,
1986,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,18629795,32,,
1987,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,20264730,35,,
1988,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,22662144,39,,
1989,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,25435224,44,,
1990,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,27946023,48,,
1991,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,26922898,46,,
1992,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,24691512,43,,
1993,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,23680336,41,,
1994,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,24042652,42,,
1995,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,24156742,43,,
1996,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,23427925,42,,
1997,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,23211845,42,,
1998,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,22687676,42,,
1999,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,23452473,44,,
2000,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,26877783,51,,
2001,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,28823931,55,,
2002,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,29715086,57,,
2003,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,40069633,77,,
2004,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,43652007,84,,
2005,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,33844108,66,,
2006,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,34919323,68,,
2007,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,40239097,79,,
2008,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,81722665,160,,
2009,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,106748979,207,,
2010,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,159851389,306,,
2011,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,185562489,353,,
2012,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,326444433,620,,
2013,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,153592466,291,,
2014,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,156626177,297,,
2015,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,165216310,313,,
2016,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,170840260,323,,
2017,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,179819105,340,,
2018,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,182499934,347,,
2019,..,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,198957660,380,,
2020,f,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,212408299,407,,
2021,f,Newfoundland and Labrador,Provincial Government,Other Health Spending: Net of HCC,215458444,414,,
1975,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1976,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1977,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1978,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1979,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1980,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1981,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1982,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1983,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1984,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1985,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1986,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1987,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1988,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1989,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1990,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1991,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1992,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1993,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1994,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1995,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1996,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1997,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1998,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
1999,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2000,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2001,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2002,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2003,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2004,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2005,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2006,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2007,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2008,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2009,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2010,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2011,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2012,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2013,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2014,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2015,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2016,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2017,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2018,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2019,..,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,,,,
2020,f,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,89829368,172,,
2021,f,Newfoundland and Labrador,Provincial Government,COVID-19 Response Funding,54516865,105,,
1975,..,Newfoundland and Labrador,Provincial Government,Sub-Total,170495750,306,,
1976,..,Newfoundland and Labrador,Provincial Government,Sub-Total,196538750,349,,
1977,..,Newfoundland and Labrador,Provincial Government,Sub-Total,218396500,386,,
1978,..,Newfoundland and Labrador,Provincial Government,Sub-Total,246326750,434,,
1979,..,Newfoundland and Labrador,Provincial Government,Sub-Total,285239000,500,,
1980,..,Newfoundland and Labrador,Provincial Government,Sub-Total,326765000,571,,
1981,..,Newfoundland and Labrador,Provincial Government,Sub-Total,381867500,664,,
1982,..,Newfoundland and Labrador,Provincial Government,Sub-Total,444829250,775,,
1983,..,Newfoundland and Labrador,Provincial Government,Sub-Total,493169750,852,,
1984,..,Newfoundland and Labrador,Provincial Government,Sub-Total,514009250,886,,
1985,..,Newfoundland and Labrador,Provincial Government,Sub-Total,537455000,928,,
1986,..,Newfoundland and Labrador,Provincial Government,Sub-Total,583037250,1012,,
1987,..,Newfoundland and Labrador,Provincial Government,Sub-Total,629289250,1094,,
1988,..,Newfoundland and Labrador,Provincial Government,Sub-Total,686961000,1195,,
1989,..,Newfoundland and Labrador,Provincial Government,Sub-Total,740175000,1284,,
1990,..,Newfoundland and Labrador,Provincial Government,Sub-Total,818368250,1417,,
1991,..,Newfoundland and Labrador,Provincial Government,Sub-Total,848909000,1465,,
1992,..,Newfoundland and Labrador,Provincial Government,Sub-Total,861958242,1486,,
1993,..,Newfoundland and Labrador,Provincial Government,Sub-Total,860609663,1484,,
1994,..,Newfoundland and Labrador,Provincial Government,Sub-Total,882750512,1537,,
1995,..,Newfoundland and Labrador,Provincial Government,Sub-Total,905347750,1596,,
1996,..,Newfoundland and Labrador,Provincial Government,Sub-Total,914750931,1634,,
1997,..,Newfoundland and Labrador,Provincial Government,Sub-Total,949971095,1724,,
1998,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1032156488,1912,,
1999,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1076416093,2018,,
2000,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1148326913,2175,,
2001,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1261685871,2417,,
2002,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1356982334,2612,,
2003,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1445568471,2788,,
2004,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1492111292,2884,,
2005,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1559125077,3031,,
2006,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1645985702,3224,,
2007,..,Newfoundland and Labrador,Provincial Government,Sub-Total,1740070117,3418,,
